Upregulated,Downregulated
FQ312003_intergenic_833342_833620,SL0892
FQ312003_intergenic_840902_841023,SL0933
FQ312003_intergenic_88257_88636,SL1032
FQ312003_intergenic_886256_886461,SL1059
FQ312003_intergenic_9993_10041,SL1127
ftsX,SL1151
gatD,SL1262
gcl,SL1393
glnK,SL1478
glxK,SL1647
gntK,SL1669
gpJ,SL1671
gpP,SL1710
gpW,SL1737
hisD,SL1767
hpaA,SL1768
hpaC,SL2190
hpcD,SL2191
hutG,SL2359
hyaA,SL2370
kefB,SL2593
mtlA,SL2714
murE,SL2885
napH,SL3014
nrdH,SL3023
nrfB,SL3036
ntpA,SL3060
nuoL,SL3156
oadB2,SL3176
oadG2,SL3293
pduH,SL3319
pduV,SL3330
phsB,SL3538
pilM,SL4253
potH,SL4436
ppdD,SL4480
proB,SL4482
prpE,slyB
pSLP2_intergenic_84744_84896,slyD
pSLT1344_intergenic_25316_25610,sodB
pSLT1344_intergenic_80324_80561,speE
pstC,sugR
recG,talB
recR,tdk
rhaT,tig
rspA,traE
safC,traS
sapF,traT
sciI,trbH
sciK1,trxA
sgaA,trxC
SL0155,tsx
SL0294,uspB
SL0326,yafA
SL0565,yaiA
SL0747,ybeJ
SL0792,ybiS
SL0944,ybjX
SL0945,yecF
SL0949,yeiP
SL0976,yejK
SL0979,yejL
SL1048,yhdN
SL1067,yheO
SL1094,yifE
SL1166,yjeI
SL1306,yjga
SL1403,ytfB
SL1544,ytfP
SL1547,
SL1846,
SL1933,
SL1934,
SL1945,
SL1946,
SL1970,
SL1980,
SL2271,
SL2434,
SL2533,
SL2551,
SL2552A,
SL2565,
SL2573,
SL2576,
SL2579,
SL2589,
SL2626,
SL2634,
SL2638,
SL2671,
SL2688,
SL2689,
SL2691,
SL2716,
SL2718,
SL2720,
SL2737,
SL2751,
SL2824,
SL3028,
SL3050,
SL3058,
SL3116,
SL3249,
SL3339,
SL3341,
SL3498,
SL3510,
SL3516,
SL3633,
SL3662,
SL3732,
SL3736,
SL3757,
SL3826,
SL3854,
SL3958,
SL4135,
SL4145,
SL4149,
SL4151,
SL4153,
SL4158,
SL4205,
SL4257,
SL4371,
SL4372,
SL4376,
SL4468,
SLP1_0047,
SLP1_0048,
SLP1_0051,
srgB,
srlA,
stfD,
traH,
traN,
traT,
trbC,
trbI,
trpB,
ttrS,
ugpE,
uxaC,
ybdB,
ybdR,
yceA,
ychA,
yegB,
ygbK,
yliC,
