ID,Gene,Gene Name,6h_Group 1/0h_uninfected,72h_Group 1/0h_uninfected,6h_Group 2/0h_uninfected,48h_Group 2/0h_uninfected,6h_Group 3/0h_uninfected,72h_Group 3/0hr_uninfected,hr72_Group 1/h6_Group 1,hr48_Group 2/hr6_Group 2,hr72_Group 3/hr6_Group 3,P-Value,Adjusted P-Value
KQnQI4o.q.3MCJ9eSo,Cfb,complement factor B,0.230856326,1.814776974,0.430158319,2.298374805,-0.386878184,0.738021052,1.583920649,1.868216485,1.124899236,2.59E-08,0.000455862
otfSbQ70_07x405Ptg,Fos,FBJ osteosarcoma oncogene,-0.079293371,0.965319462,-0.011319588,0.72683447,-0.074191913,1.067021451,1.044612833,0.738154058,1.141213364,2.62E-08,0.000461031
EilRJSEexIiIOIt_oE,Gbp7,guanylate binding protein 7,0.41688893,1.916524734,0.575112676,1.86689915,-0.075585197,1.461471695,1.499635804,1.291786474,1.537056893,2.87E-08,0.000504358
o6QVXk_6tyrq1_uuIQ,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21),0.223792128,1.328463395,0.203939426,1.183932081,0.07233949,1.758330425,1.104671268,0.979992655,1.685990935,3.04E-08,0.000534104
Hh3g1R2iC.B3pstFlo,Cd14,CD14 antigen,1.39106069,3.702745559,1.440728256,3.053525144,0.154037629,5.47739101,2.311684869,1.612796888,5.323353381,3.20E-08,0.000562772
3abd7f7AtRON3e00iA,Cbfa2t3,"core-binding factor, runt domain, alpha subunit 2, translocated to, 3 (human)",0.128185264,-0.526540357,0.166660487,-0.790333275,-0.186917095,-1.221830018,-0.654725622,-0.956993762,-1.034912923,3.20E-08,0.000562886
le.det23Z2oSIb0Ch4,Cxcl1,chemokine (C-X-C motif) ligand 1,0.602223184,3.213546621,0.981043073,3.218198274,0.179672326,5.23347795,2.611323437,2.237155201,5.053805624,3.68E-08,0.000647083
ckc4eq57Lfz47f1Exc,Sod2,"superoxide dismutase 2, mitochondrial",1.091267369,2.724153766,1.181692068,2.762447877,-0.12530702,2.546882486,1.632886397,1.580755809,2.672189507,4.00E-08,0.000703779
HAyFSJK.n9pHhIQJS4,Dusp1,dual specificity phosphatase 1,0.128868374,2.360758113,0.158987692,2.147687956,-0.07554971,3.185249751,2.231889739,1.988700264,3.260799461,4.02E-08,0.000706725
9Qqa0AL_X4V4JVXr0g,Cxcl2,chemokine (C-X-C motif) ligand 2,0.172628697,2.887768476,0.138816214,2.576206102,0.0671623,5.234633668,2.715139779,2.437389889,5.167471367,4.46E-08,0.000785449
rr51fnvwKcQ0iSf_nk,Plk2,polo-like kinase 2,0.009616228,0.375069629,-0.039340862,0.692913016,-0.119314205,0.643478646,0.365453401,0.732253878,0.762792851,4.73E-08,0.000831896
H.sPsn73UUXh6p57tU,Ass1,argininosuccinate synthetase 1,0.27726433,1.778940073,0.297316845,1.366573429,0.14372575,2.270828245,1.501675743,1.069256583,2.127102495,5.07E-08,0.000892014
EzkopLpZL.WKku5Qic,Pla1a,phospholipase A1 member A,0.076520058,2.311285608,0.016132813,2.51117556,0.09619508,2.596381689,2.23476555,2.495042747,2.500186609,5.68E-08,0.000999884
xoLeZ4JU0gurYopzJM,Ccl7,chemokine (C-C motif) ligand 7,0.180314934,3.710385529,0.206792174,3.612729819,0.054644727,3.946787303,3.530070595,3.405937645,3.892142576,6.56E-08,0.001154401
ToCHsqH__CgC15.qV4,Tmem106a,transmembrane protein 106A,0.350940776,1.13532479,0.282535944,1.161785133,0.023551192,0.660092337,0.784384014,0.879249189,0.636541145,7.06E-08,0.001242937
fjQsv6H0VhowZmfkvU,Phlda1,"pleckstrin homology-like domain, family A, member 1",-0.316133447,0.238454321,-0.317422329,-0.015017942,0.103987364,1.528103708,0.554587768,0.302404387,1.424116344,7.60E-08,0.001338219
BoLiULTX5yp.97siKg,Irak3,interleukin-1 receptor-associated kinase 3,0.32588098,1.526014033,0.431085795,1.43430428,-0.070015369,1.927543139,1.200133053,1.003218485,1.997558508,7.83E-08,0.001377815
KVOiOtRT5793nPujOE,Ccl4,chemokine (C-C motif) ligand 4,1.495163816,5.179138197,1.085879505,4.710160417,-0.029080733,6.007535125,3.683974381,3.624280911,6.036615858,9.16E-08,0.001612214
u6ggogXgpJUoosTQmY,Aldoa,"aldolase A, fructose-bisphosphate",0.13953586,1.168319996,0.42185623,1.42671366,-0.438337558,0.935110601,1.028784136,1.00485743,1.373448159,1.02E-07,0.001793148
ck.Bu95.ESKNkW4luc,Tgm2,"transglutaminase 2, C polypeptide",0.499991265,2.21437164,0.581585275,1.831852871,0.070591705,2.29738119,1.714380375,1.250267596,2.226789484,1.07E-07,0.001885166
BEmRav2ofjkNaNAbp4,Cebpb,"CCAAT/enhancer binding protein (C/EBP), beta",0.814980195,2.898711216,0.727676889,2.424625621,0.683394983,3.702664264,2.083731021,1.696948732,3.019269281,1.09E-07,0.001920744
oUU7_8NXd5.XyYsEfo,Mmp13,matrix metallopeptidase 13,0.748732127,4.032028114,0.363908618,1.025467927,0.075682267,2.79111626,3.283295987,0.661559308,2.715433993,1.10E-07,0.001927646
lSt5N3tESyuef6noog,Sco1,SCO cytochrome oxidase deficient homolog 1 (yeast),0.141539726,1.126626334,0.125317822,0.668438766,0.258790718,1.04211855,0.985086608,0.543120944,0.783327832,1.10E-07,0.001929103
ifqpwqJ0ShHiQ6eNf0,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21),0.30693669,1.434110451,0.289789222,1.536157465,-0.037738954,1.35943887,1.127173762,1.246368243,1.397177824,1.19E-07,0.002093474
Bbp4sy8e5X_A6XK.co,Acss1,acyl-CoA synthetase short-chain family member 1,-0.431364459,-1.239317779,-0.372830706,-1.257600274,0.09903132,-1.565257889,-0.80795332,-0.884769568,-1.664289209,1.20E-07,0.00210797
Te725.eIH2xomLrkLE,Tlr2,toll-like receptor 2,0.451204146,1.776890086,0.502042138,1.248115081,0.371865596,2.855082372,1.32568594,0.746072943,2.483216775,1.21E-07,0.002128796
rSJ6lcuzsx_IheH7Xo,Gna13,"guanine nucleotide binding protein, alpha 13",-0.041335863,0.763711007,-0.044616716,0.522277616,-0.234451494,0.716385057,0.805046869,0.566894333,0.950836551,1.37E-07,0.002409628
EVd97CIgId4pSnLkok,Gm12185,predicted gene 12185,0.09595657,0.925835519,0.005344299,0.908895089,0.037414064,0.845541055,0.82987895,0.90355079,0.808126991,1.65E-07,0.002909461
f5fAfqIoEdKnpaRkVo,Elovl1,"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1",0.048167392,0.658955041,0.21658377,0.930923371,0.311884642,0.903216464,0.610787649,0.714339602,0.591331822,1.66E-07,0.002929201
ZSkunSp1_rk7sy_CeU,Luzp1,leucine zipper protein 1,-0.033404734,1.00141065,0.028053314,1.103225805,-0.150703029,0.622792176,1.034815384,1.075172491,0.773495205,1.72E-07,0.003021237
cGet58fScU.0henXlE,Hsd3b7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",-0.04915874,0.908091047,-0.092135629,0.557864853,0.321390576,1.105709172,0.957249787,0.650000482,0.784318596,1.75E-07,0.003087468
35ToSTleDJ99d7nbYg,4930599N23Rik,RIKEN cDNA 4930599N23 gene,0.236040951,1.10390641,0.101403721,0.83497249,0.04749338,1.212271927,0.867865458,0.733568769,1.164778548,1.77E-07,0.003114401
oSb3V3qank6DiXUdIs,Wars,tryptophanyl-tRNA synthetase,0.223760115,1.760222344,0.202397548,1.81951026,0.06131071,1.788711851,1.536462229,1.617112713,1.727401141,1.80E-07,0.003159535
raKdWidsTc6c745xs0,Psmb6,"proteasome (prosome, macropain) subunit, beta type 6",0.117631715,0.92258005,0.20893155,0.925647234,-0.182971658,0.517855456,0.804948335,0.716715684,0.700827113,1.84E-07,0.003245752
KSM.pN3Cug4lR1ER4w,Nfkbiz,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta",0.433930929,1.600558632,0.243549214,1.42890557,-0.24769601,2.073860464,1.166627703,1.185356356,2.321556475,1.97E-07,0.003470961
xbqICyqKLUBSlFIjr4,Vdr,vitamin D receptor,0.046473261,0.965987278,0.002881116,0.976763825,0.009653944,1.197825376,0.919514017,0.973882709,1.188171431,2.03E-07,0.003579644
uQyeig7ONAilqBZbso,Il33,interleukin 33,0.145800446,0.581318797,0.441353454,0.480685339,-0.14390452,1.213990478,0.435518351,0.039331885,1.357894998,2.18E-07,0.003841327
6II46A04ViK5IcOH4I,Rps3a1,ribosomal protein S3A1,0.07978089,-0.176151043,0.620820561,0.250569584,-1.422893604,-1.635483493,-0.255931933,-0.370250977,-0.212589889,2.40E-07,0.004223147
lK77FZiOZ662I5WiEg,Il12rb1,"interleukin 12 receptor, beta 1",0.096032001,0.916481915,-0.019119755,0.651319527,0.079015054,0.729985183,0.820449914,0.670439282,0.650970129,2.43E-07,0.004267884
lf6U0p2uELlfFN3UnU,Cyfip1,cytoplasmic FMR1 interacting protein 1,0.107298842,0.279212956,0.050672065,0.289324602,0.061985592,0.830555698,0.171914114,0.238652537,0.768570105,2.47E-07,0.004353601
KTXreh7cV8lZFUIE7M,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21),0.812094664,2.750189774,0.594455147,2.073357242,0.006779471,2.832314318,1.93809511,1.478902095,2.825534847,2.74E-07,0.004819016
BJ.uOjxziFJLf51CUk,Ccl4,chemokine (C-C motif) ligand 4,0.729511379,3.887072777,0.623099616,3.778876193,-0.022675828,4.919176565,3.157561398,3.155776577,4.941852393,2.78E-07,0.004896329
ri3_4Cguf70k7nOkgU,Mmp3,matrix metallopeptidase 3,0.552752967,1.85029246,0.770336502,2.20146412,0.011970817,1.624668865,1.297539493,1.431127617,1.612698048,2.82E-07,0.004961301
ZrsodTHS4SpKCJQIwU,Atf3,activating transcription factor 3,0.138093091,1.003526254,-0.002007872,0.818363334,0.06118636,0.797286987,0.865433163,0.820371207,0.736100627,2.89E-07,0.00509231
63k3d0LVJ54Sl9ezVI,Zswim4,zinc finger SWIM-type containing 4,-0.028030448,0.354123498,0.028843161,0.283405387,0.162331502,1.00327414,0.382153946,0.254562226,0.840942638,2.91E-07,0.005114924
9X30XG7V4FKKkJQ5e4,Acot7,acyl-CoA thioesterase 7,0.130325837,0.863585614,0.049437297,0.624104304,0.252756512,1.058958091,0.733259778,0.574667008,0.80620158,2.98E-07,0.005250175
KUtQF_jF3LeUHvR7.0,Slc2a6,"solute carrier family 2 (facilitated glucose transporter), member 6",0.794204504,2.40219196,0.568541432,2.460984891,-0.068682157,2.668312466,1.607987456,1.892443459,2.736994622,3.11E-07,0.005477482
Nsu97vzUWsmOVF9SWo,Mif,macrophage migration inhibitory factor,0.131386385,1.065924597,-0.126711685,0.955320499,0.057320375,1.411645082,0.934538212,1.082032184,1.354324707,3.23E-07,0.005676666
3qUzjggTJ33hTS17S4,Mefv,Mediterranean fever,0.345495644,1.461987684,0.360405065,1.320419871,0.074659234,1.36766866,1.116492041,0.960014806,1.293009426,3.27E-07,0.005750472
rflSsz50f3FEoPfBRI,Gbp5,guanylate binding protein 5,0.652191895,2.784893182,0.515101984,2.529241999,-0.14036635,2.209570568,2.132701287,2.014140015,2.349936918,3.36E-07,0.005912444
im3wR5xHrrK3TtBXkg,Mrc1,"mannose receptor, C type 1",-1.210246464,-1.699922238,-1.21084974,-2.524246321,0.512212964,-1.612122797,-0.489675775,-1.313396581,-2.124335761,3.40E-07,0.005977095
o1FRS8KU_w9cLHsp3o,Jdp2,Jun dimerization protein 2,0.005705555,0.97553074,0.082412956,1.052075992,0.093983609,0.989398497,0.969825185,0.969663036,0.895414888,3.54E-07,0.006224075
Z8TTkwqSJnS7tUnpXo,Ece2,endothelin converting enzyme 2,0.177552422,0.650654758,0.25416983,0.715205993,0.079214864,0.75446866,0.473102336,0.461036163,0.675253796,3.63E-07,0.00638214
Eenq9LJGd_P6bS0ARI,Ms4a6d,"membrane-spanning 4-domains, subfamily A, member 6D",2.191843731,4.240755669,2.244903124,3.411721208,0.970716327,4.380660378,2.048911939,1.166818084,3.409944051,3.76E-07,0.006610281
ird_3ilP7rp_DKDpVU,Ptges,prostaglandin E synthase,-0.01156486,0.348311302,-0.117069702,0.555769843,-0.00500167,1.075738069,0.359876161,0.672839545,1.080739739,3.84E-07,0.006749254
0NeEXTJ63XgBDsMoJU,Aoah,acyloxyacyl hydrolase,0.08023313,0.993021088,0.112815917,1.100629064,0.020813812,0.434252489,0.912787958,0.987813147,0.413438678,3.87E-07,0.006805752
KuuvK3XRsJEqC3uC3E,Dusp16,dual specificity phosphatase 16,-0.091072961,1.336595203,-0.137712227,1.164995515,-0.372570563,2.050572383,1.427668164,1.302707742,2.423142946,3.87E-07,0.006808093
0RV0aU1Kev_wjnq_uQ,Furin,furin (paired basic amino acid cleaving enzyme),-0.058939737,1.091901889,-0.103308751,0.592400875,0.501284842,2.060185277,1.150841627,0.695709625,1.558900434,4.08E-07,0.007184224
En9K.d6nyp0e_1VR9I,Cd209b,CD209b antigen,-0.164256143,-1.195932114,0.01869365,-1.337313295,0.744510767,-0.406786605,-1.03167597,-1.356006945,-1.151297373,4.17E-07,0.007342007
cPwJfr9_nsQ6n6wR0U,Avpr1a,arginine vasopressin receptor 1A,-0.107899266,0.322643614,-0.182205173,0.279055269,-0.330085848,1.04052742,0.43054288,0.461260441,1.370613268,4.37E-07,0.007685281
WoW3kKIUjQR1UY7n7o,Upp1,uridine phosphorylase 1,0.629283367,4.33379128,0.613383472,3.874974598,0.973553979,5.352717428,3.704507913,3.261591126,4.379163449,4.38E-07,0.007707309
NjUpQAutWrl.dTFLfY,Dhx58,DEXH (Asp-Glu-X-His) box polypeptide 58,0.837705766,1.664470049,0.674627909,1.082225349,0.500523535,1.675415073,0.826764283,0.40759744,1.174891538,4.39E-07,0.007728763
0VckdcNKEiC2XBXC7c,Serpina3f,"serine (or cysteine) peptidase inhibitor, clade A, member 3F",1.704535254,4.997783665,0.918604436,4.291255226,0.241479333,4.321740508,3.293248411,3.37265079,4.080261175,4.65E-07,0.008176493
uewe65SuN4RXTEhMTk,Gbp7,guanylate binding protein 7,0.277011056,1.171696451,0.211391367,1.275812111,-0.015321293,1.037923739,0.894685395,1.064420743,1.053245032,4.73E-07,0.008315608
laHft6e8E4fvxEz.SU,Hps3,Hermansky-Pudlak syndrome 3 homolog (human),-0.042969567,-0.391670268,0.030854598,-0.448524597,-0.684223382,-0.870134294,-0.348700701,-0.479379195,-0.185910912,4.79E-07,0.008437303
ouKCQIJxiCBl_RLOLU,Eef1b2,eukaryotic translation elongation factor 1 beta 2,0.059144532,-0.231296843,0.33321445,0.247252355,-1.246890967,-1.44119797,-0.290441375,-0.085962095,-0.194307003,5.09E-07,0.00895544
Krn9I8O3l3tIwFdIwc,Ptx3,pentraxin related gene,0.029492471,0.700524164,0.015060518,0.711980748,-0.052445612,0.260359308,0.671031693,0.69692023,0.31280492,5.15E-07,0.009055887
fUeEegyg7jqbZFd7A4,Mbp,myelin basic protein,-0.094998854,-0.944805452,-0.077246774,-0.970325245,0.20139867,-0.800732369,-0.849806599,-0.893078471,-1.002131039,5.16E-07,0.009079897
f3ZCz1LKu_TKKFCBGU,Wdr6,WD repeat domain 6,-0.289029527,-0.698151876,-0.312263872,-0.738246068,-0.166694993,-0.615006395,-0.409122349,-0.425982196,-0.448311402,5.20E-07,0.009156378
iqjhRqjmuOIJ0CWP10,Ubd,ubiquitin D,0.560903867,4.03517669,0.031817552,3.645506989,-0.592856693,2.997167483,3.474272823,3.613689438,3.590024176,5.24E-07,0.009219884
xx3C9TqfgO7vjmKH.o,Kmt2e,lysine (K)-specific methyltransferase 2E,-0.147251426,-0.697678816,-0.039668676,-0.421975435,-1.036245482,-1.422709892,-0.55042739,-0.382306759,-0.38646441,5.28E-07,0.009290197
TVTdf1Ze9QLl8y0wHs,Ccdc86,coiled-coil domain containing 86,0.44568111,1.245745161,0.32448728,0.782169942,0.46570293,1.723638342,0.800064051,0.457682663,1.257935412,5.30E-07,0.009327006
rod6umOmNf1ufJT51w,Fcgr4,"Fc receptor, IgG, low affinity IV",0.806810305,2.758167156,0.460665107,2.066880363,0.682098649,2.994046012,1.951356851,1.606215255,2.311947363,5.49E-07,0.00966268
ELpnJoAroIfs_mdLks,Dnah2,"dynein, axonemal, heavy chain 2",0.118055859,0.80497508,0.084200891,1.225854988,-0.015397976,0.607228229,0.686919221,1.141654097,0.622626205,5.72E-07,0.010060848
K50teZwdS2eV70uO3o,Tmem2,transmembrane protein 2,-0.112807679,1.42715112,-0.298594695,1.033259135,0.368943099,2.175266965,1.539958799,1.33185383,1.806323866,5.74E-07,0.010105517
EVa6985EoSEuu7R5Ic,Gdf15,growth differentiation factor 15,0.281137458,1.826577449,0.339288314,1.826840955,0.205544126,0.704894438,1.545439991,1.487552642,0.499350312,6.07E-07,0.010680622
Ts4kTXdvapFnpQRsQg,Myo10,myosin X,0.167402999,0.907500401,0.105503059,0.562191936,0.16454866,0.661576754,0.740097402,0.456688877,0.497028094,6.23E-07,0.010962981
6iNu5.1C5UUF1x97F0,Btbd3,BTB (POZ) domain containing 3,-0.007230677,0.390005788,0.001786851,0.566155208,-0.140061262,0.752115456,0.397236465,0.564368357,0.892176719,6.50E-07,0.011431494
lLeQVTkeCnJ03WdcX0,Cd209b,CD209b antigen,-0.280897142,-1.685287221,-0.070874524,-1.813694466,0.69521038,-0.852593547,-1.404390079,-1.742819943,-1.547803927,6.71E-07,0.011809216
EVciAB7Q_6oDjghf6k,Hbb-bt,"hemoglobin, beta adult t chain",0.111599155,-2.199899415,0.782016461,-1.783557901,-1.40235597,-2.86964024,-2.31149857,-2.565574362,-1.46728427,6.72E-07,0.01183107
HSHd1YIsbjZ5TS3cTo,Tmbim4,transmembrane BAX inhibitor motif containing 4,0.313148449,1.205221522,0.110293657,0.577743407,0.482021498,1.474951032,0.892073073,0.46744975,0.992929535,6.99E-07,0.012303184
om6iAsqii1AUpRSI68,Vdr,vitamin D receptor,-0.00966314,0.563779323,0.053460223,0.728461703,0.006595882,0.783184137,0.573442463,0.675001479,0.776588255,7.17E-07,0.012613006
rKeXSrf.nyJXJy0cgI,Igtp,interferon gamma induced GTPase,0.996163627,2.857264781,0.649243446,2.320059278,0.520319351,3.035760791,1.861101154,1.670815831,2.51544144,7.25E-07,0.012753498
68GuAaVyirZ3L4HdSk,Fosl2,fos-like antigen 2,-0.23530808,1.075560488,-0.1029173,0.850740808,0.336944174,2.638837031,1.310868568,0.953658108,2.301892857,7.36E-07,0.012952898
EVdf76zb6c51Uet.u8,Cdc42ep2,CDC42 effector protein (Rho GTPase binding) 2,0.334597899,1.346273321,0.314072434,0.957230285,-0.06890065,1.737427704,1.011675421,0.643157851,1.806328354,7.71E-07,0.01357242
WRJbXv3ej562c4ih2U,Slc15a3,"solute carrier family 15, member 3",0.883331803,2.185112451,0.599713801,1.982451653,0.145107549,2.894056715,1.301780648,1.382737852,2.748949166,7.72E-07,0.013588657
l6Fws33vr8U_Ld9XiI,Hilpda,hypoxia inducible lipid droplet associated,0.193080662,2.283623982,0.082449085,1.674232164,-0.009127561,3.142890395,2.09054332,1.591783079,3.152017956,7.82E-07,0.013769578
ToiOnihXj0PVJFSSUQ,Samhd1,"SAM domain and HD domain, 1",0.209339105,1.411966407,0.428664712,1.124403534,0.109161997,2.02462455,1.202627302,0.695738821,1.915462553,8.27E-07,0.014557276
rpBQgUl1IJQhUF4l18,Itprip,"inositol 1,4,5-triphosphate receptor interacting protein",-0.127289713,0.324143917,-0.143408114,0.312690961,-0.248482143,0.800404575,0.451433631,0.456099075,1.048886719,8.28E-07,0.014569456
loEp7VTh9frlxCeQTg,AU022252,expressed sequence AU022252,-0.025849078,0.451523315,0.015893648,0.391123686,0.001713982,0.466885698,0.477372393,0.375230039,0.465171716,8.31E-07,0.014628964
Kb9RN4IL7gX01qjnRE,Hfe,hemochromatosis,-0.274660729,-0.900321558,-0.026412552,-1.016711096,-0.1104267,-0.573353498,-0.625660829,-0.990298544,-0.462926798,8.40E-07,0.014775679
fMJeJfJ1ScqpPPzoUc,Plk3,polo-like kinase 3,-0.070472941,0.663193304,-0.023858392,0.755091167,0.030475133,1.205343319,0.733666245,0.778949558,1.174868186,8.54E-07,0.015029063
ugu1r16Wu7n3_MOmOU,Trib1,tribbles homolog 1 (Drosophila),0.034331366,0.422747693,-0.086526533,0.29283828,0.130763164,1.004587171,0.388416327,0.379364813,0.873824007,8.54E-07,0.015031857
ZDOSDsiRtVeGehIlOI,Psmb1,"proteasome (prosome, macropain) subunit, beta type 1",0.009070244,1.755065834,0.116405739,1.897673607,0.058248608,2.066118296,1.745995591,1.781267868,2.007869688,8.88E-07,0.015634657
3Ue85ajerROfNd7tFI,Ffar2,free fatty acid receptor 2,0.209682997,1.217180538,-0.140060884,0.443102022,-0.054686267,1.053948022,1.007497542,0.583162905,1.108634289,8.97E-07,0.015781703
EcpP6n5x_FPdle4DtU,Enc1,ectodermal-neural cortex 1,0.178516195,1.612447685,-0.030888105,1.317746548,0.018810768,2.197326343,1.43393149,1.348634652,2.178515574,9.18E-07,0.016148934
BK_EAwKc_UpKeiI6dI,Zc3h12a,zinc finger CCCH type containing 12A,0.128338661,0.474008333,0.059152564,0.591503143,-0.155184382,0.54798641,0.345669671,0.532350579,0.703170792,9.32E-07,0.016393688
NdTJuz17nc7yLkw4mY,Cables1,CDK5 and Abl enzyme substrate 1,0.010610008,0.515875998,-0.008769963,0.45769407,0.044794255,0.561208848,0.50526599,0.466464033,0.516414594,9.34E-07,0.016441212
oBEqC_ToRxLYhBQgSU,Ywhab,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide",0.028756095,-0.136296547,0.311657216,0.199697698,-1.159390928,-1.207965345,-0.165052642,-0.111959518,-0.048574417,9.38E-07,0.016502789
