Gene Name,Product Annotation,BaseMean,BaseMeanA,BaseMeanB,Fold Change,log2 Fold-Change,P-value,FDR,Effect
exc,surface exclusion protein,264.4942094,556.9433643,69.52810612,0.124838737,-3.001862429,1.79E-07,8.51E-06,Downregulated
fbp,"fructose-1,6-bisphosphatase",206.9611025,412.1650411,70.15847673,0.170219378,-2.554532814,1.07E-05,0.000283566,Downregulated
fes,enterochelin esterase,19.29902363,3.103324461,30.09615641,9.69803731,3.277692804,5.76E-08,3.01E-06,Upregulated
fhlA,transcriptional activator of the formate hydrogenlyase system,37.5538555,84.26849879,6.410759984,0.076075403,-3.716426123,4.83E-05,0.000975401,Downregulated
flaG,flagellin,280.2789518,661.8318066,25.91038187,0.039149496,-4.674862444,8.50E-17,2.52E-14,Downregulated
fldA,flavodoxin 1,100.7831282,196.9992987,36.63901456,0.185985508,-2.426737887,0.008273139,0.06758295,Downregulated
fldB,flavodoxin II,40.07974349,81.23935028,12.64000563,0.155589694,-2.684181596,0.000183765,0.003036535,Downregulated
flgK,flagellar hook-associated protein 1,122.2798017,252.4097214,35.52652184,0.14074942,-2.82879912,3.90E-09,2.99E-07,Downregulated
flgM,negative regulator of flagellin synthesis (anti-sigma factor),150.6344214,366.9699135,6.410759984,0.017469443,-5.839022581,5.38E-20,2.70E-17,Downregulated
flgN,flagella synthesis protein FlgN,112.8318332,250.2899793,21.19306905,0.084674061,-3.561936102,8.82E-13,1.40E-10,Downregulated
flhD,Transcriptional activator flhD.,56.48712392,100.5571157,27.10712939,0.26956948,-1.891270928,0.007568493,0.063659219,Downregulated
fliA,RNA polymerase sigma transcription factor for flagellar operon,37.59353714,86.90787362,4.717312818,0.054279464,-4.203449709,0.000144401,0.002472807,Downregulated
fliB,lysine-N-methylase (ec 2.1.1.-) (lysine N-methyltransferase),33.51551072,76.71280757,4.717312818,0.061493158,-4.023430284,0.000250055,0.003895254,Downregulated
fliC,flagellin,608.5953529,1408.902426,75.05730389,0.0532736,-4.230435422,2.48E-23,1.80E-20,Downregulated
fmt,methionyl-tRNA formyltransferase,51.3405869,83.88051705,29.64730014,0.353446798,-1.500435024,0.003469778,0.032917502,Downregulated
fnr,fumarate and nitrate reduction regulatory protein,385.8664297,810.3451271,102.8806315,0.12695903,-2.977565081,8.04E-10,7.29E-08,Downregulated
focA,probable formate transporter (formate channel),268.4511493,508.7331429,108.2631535,0.212809319,-2.232366769,4.53E-05,0.000929397,Downregulated
FQ312003.1526,FQ312003.1526,15.29119663,31.94932977,4.185774541,0.131012906,-2.932219156,0.011301721,0.08469154,Downregulated
FQ312003.3325,FQ312003.3325,98.71478462,207.1240813,26.44192014,0.127662221,-2.969596448,6.53E-07,2.62E-05,Downregulated
FQ312003.4499,FQ312003.4499,21.18435025,2.68404156,33.51788937,12.48784291,3.642452389,5.77E-10,5.46E-08,Upregulated
FQ312003_intergenic_1000151_1000308,FQ312003_intergenic_1000151_1000308,48.07294663,89.26419467,20.61211461,0.230911338,-2.114589084,0.003540386,0.03329697,Downregulated
FQ312003_intergenic_1047490_1047995,FQ312003_intergenic_1047490_1047995,110.9501874,265.4914292,7.92269281,0.029841614,-5.066530612,4.48E-05,0.000925881,Downregulated
FQ312003_intergenic_1254940_1254986,FQ312003_intergenic_1254940_1254986,3.404843878,0.166055095,5.564036401,33.50717063,5.066397964,0.00581634,0.050889072,Upregulated
FQ312003_intergenic_1295345_1295925,FQ312003_intergenic_1295345_1295925,46.90319819,105.3739563,7.92269281,0.075186442,-3.733383666,0.000141908,0.002443885,Downregulated
FQ312003_intergenic_1316682_1317221,FQ312003_intergenic_1316682_1317221,1157.841024,188.2694678,1804.222061,9.583189893,3.260505956,0.000565785,0.007890762,Upregulated
FQ312003_intergenic_1366289_1366360,FQ312003_intergenic_1366289_1366360,10.23835469,2.226461997,15.57961648,6.997476939,2.806834827,0.000801749,0.010403606,Upregulated
FQ312003_intergenic_1440240_1440459,FQ312003_intergenic_1440240_1440459,176.1905466,7.968355499,288.338674,36.18546813,5.177338531,0.000556534,0.007795061,Upregulated
FQ312003_intergenic_1462286_1462474,FQ312003_intergenic_1462286_1462474,21.87737257,48.41476962,4.185774541,0.086456562,-3.531880719,0.01024831,0.078510232,Downregulated
FQ312003_intergenic_1492668_1493182,FQ312003_intergenic_1492668_1493182,41.93707822,98.56403373,4.185774541,0.042467565,-4.557494789,0.001761177,0.01925494,Downregulated
FQ312003_intergenic_1516737_1517053,FQ312003_intergenic_1516737_1517053,78.44345176,166.8591966,19.49962188,0.116862734,-3.09711315,0.000111616,0.001985057,Downregulated
FQ312003_intergenic_1611552_1611936,FQ312003_intergenic_1611552_1611936,83.24367408,188.4758923,13.0888619,0.069445815,-3.847968439,0.007293378,0.061663051,Downregulated
FQ312003_intergenic_1650035_1650207,FQ312003_intergenic_1650035_1650207,12.77623074,4.560389566,18.2534582,4.002609411,2.000940839,0.006372194,0.054869799,Upregulated
FQ312003_intergenic_1677771_1678095,FQ312003_intergenic_1677771_1678095,20.2552268,0.958033908,33.12002206,34.57082447,5.111483105,1.85E-16,5.26E-14,Upregulated
FQ312003_intergenic_1679888_1680693,FQ312003_intergenic_1679888_1680693,44.69824078,6.507886864,70.15847673,10.7805311,3.430356349,0.002192815,0.023159391,Upregulated
FQ312003_intergenic_1706565_1706950,FQ312003_intergenic_1706565_1706950,103.2027356,207.0567205,33.96674564,0.164045608,-2.607831124,0.000500061,0.007173398,Downregulated
FQ312003_intergenic_1834399_1834563,FQ312003_intergenic_1834399_1834563,113.7660248,238.9462979,30.31250938,0.126859088,-2.978701222,0.000115252,0.002038625,Downregulated
FQ312003_intergenic_1839813_1839870,FQ312003_intergenic_1839813_1839870,4.940879266,0.46815895,7.92269281,16.9230831,4.080920522,0.002712817,0.027115704,Upregulated
FQ312003_intergenic_1922869_1923024,FQ312003_intergenic_1922869_1923024,15.4253242,5.37723936,22.12404743,4.114387691,2.040677743,0.00101088,0.012355828,Upregulated
FQ312003_intergenic_1978572_1978652,FQ312003_intergenic_1978572_1978652,25.06718006,59.12996553,2.358656409,0.039889359,-4.647852258,0.00207417,0.022085009,Downregulated
FQ312003_intergenic_1979685_1980370,FQ312003_intergenic_1979685_1980370,132.4059565,302.5627659,18.96808361,0.062691401,-3.995588625,0.00033208,0.005064219,Downregulated
FQ312003_intergenic_2039709_2040021,FQ312003_intergenic_2039709_2040021,92.74526607,155.0034512,51.23980929,0.330572054,-1.596963327,0.00904054,0.071672977,Downregulated
FQ312003_intergenic_2041561_2041744,FQ312003_intergenic_2041561_2041744,11.32410792,2.200167869,17.40673461,7.911548413,2.98396008,0.000101065,0.001817222,Upregulated
FQ312003_intergenic_2079825_2080015,FQ312003_intergenic_2079825_2080015,71.74220431,161.1928098,12.10846735,0.075117912,-3.734699221,2.83E-05,0.000632294,Downregulated
FQ312003_intergenic_2088168_2088600,FQ312003_intergenic_2088168_2088600,42.54060288,87.39149875,12.64000563,0.144636559,-2.789495839,0.001799619,0.019609541,Downregulated
FQ312003_intergenic_2093600_2093960,FQ312003_intergenic_2093600_2093960,202.8258246,456.587221,33.65156034,0.07370237,-3.762145176,4.04E-08,2.24E-06,Downregulated
FQ312003_intergenic_2277817_2277892,FQ312003_intergenic_2277817_2277892,5.050287533,0.741679617,7.92269281,10.68209592,3.417122839,0.00881746,0.070184833,Upregulated
FQ312003_intergenic_2319859_2320148,FQ312003_intergenic_2319859_2320148,84.78077367,169.3478703,28.40270924,0.167718137,-2.575889388,0.009536955,0.074370016,Downregulated
FQ312003_intergenic_2338323_2338550,FQ312003_intergenic_2338323_2338550,16.99457898,0.954321701,27.68808383,29.013365,4.858645726,4.19E-12,6.21E-10,Upregulated
FQ312003_intergenic_2425114_2425326,FQ312003_intergenic_2425114_2425326,19.77514211,3.496313234,30.62769469,8.759997356,3.130930434,2.40E-07,1.09E-05,Upregulated
FQ312003_intergenic_2437265_2437558,FQ312003_intergenic_2437265_2437558,42.45315668,99.85422988,4.185774541,0.041918851,-4.576257031,2.16E-05,0.000508094,Downregulated
FQ312003_intergenic_2438830_2439660,FQ312003_intergenic_2438830_2439660,119.8070199,215.9805203,55.69135297,0.257853592,-1.955375951,0.01350219,0.096000868,Downregulated
FQ312003_intergenic_2445366_2445604,FQ312003_intergenic_2445366_2445604,26.51430625,61.47769565,3.205379992,0.052138909,-4.261495789,0.010324517,0.078816516,Downregulated
FQ312003_intergenic_2541969_2542251,FQ312003_intergenic_2541969_2542251,68.43541295,156.0651623,10.01558008,0.06417563,-3.96183064,2.17E-08,1.39E-06,Downregulated
FQ312003_intergenic_2681193_2681251,FQ312003_intergenic_2681193_2681251,73.34230066,176.2797824,4.717312818,0.026760373,-5.223757938,1.49E-09,1.28E-07,Downregulated
FQ312003_intergenic_2768884_2768934,FQ312003_intergenic_2768884_2768934,75.98520787,172.6717503,11.52751291,0.066759692,-3.904878886,0.001540872,0.017430276,Downregulated
FQ312003_intergenic_2786753_2786970,FQ312003_intergenic_2786753_2786970,109.0443951,246.6990331,17.27463644,0.070023122,-3.836024807,0.000681128,0.009138812,Downregulated
FQ312003_intergenic_2796699_2802478,FQ312003_intergenic_2796699_2802478,821450.29,94479.51875,1306097.471,13.8241334,3.789117139,7.08E-05,0.001359521,Upregulated
FQ312003_intergenic_2833416_2833437,FQ312003_intergenic_2833416_2833437,9.15971516,18.09121791,3.205379992,0.177178784,-2.496722233,0.011473358,0.085780768,Downregulated
FQ312003_intergenic_2855115_2855565,FQ312003_intergenic_2855115_2855565,10847.34833,2844.076869,16182.86263,5.690022941,2.508434469,0.002609966,0.026493387,Upregulated
FQ312003_intergenic_2863777_2863872,FQ312003_intergenic_2863777_2863872,52.78202477,128.4170773,2.358656409,0.018367155,-5.766727986,3.28E-05,0.000710821,Downregulated
FQ312003_intergenic_288852_295009,FQ312003_intergenic_288852_295009,880751.1493,89484.91671,1408261.971,15.73742283,3.976127398,4.73E-06,0.000146025,Upregulated
FQ312003_intergenic_2893776_2894391,FQ312003_intergenic_2893776_2894391,262.8016858,645.9174827,7.391154533,0.011442877,-6.449406321,2.78E-05,0.000626485,Downregulated
FQ312003_intergenic_2920037_2920158,FQ312003_intergenic_2920037_2920158,2.61035534,0.247226539,4.185774541,16.93092724,4.081589081,0.012298289,0.090395192,Upregulated
FQ312003_intergenic_2948396_2949327,FQ312003_intergenic_2948396_2949327,376.5719804,25.04864257,610.9208723,24.38938041,4.608181203,2.00E-07,9.33E-06,Upregulated
FQ312003_intergenic_2969504_2969750,FQ312003_intergenic_2969504_2969750,48.56430417,96.77125033,16.42634006,0.16974401,-2.558567432,0.000847954,0.010811598,Downregulated
FQ312003_intergenic_3022215_3022323,FQ312003_intergenic_3022215_3022323,3.958264764,0.279521934,6.410759984,22.93472964,4.519461996,0.014260924,0.099872374,Upregulated
FQ312003_intergenic_3138169_3138679,FQ312003_intergenic_3138169_3138679,1407.747386,2393.297516,750.7139662,0.313673482,-1.672664524,0.009305274,0.072999426,Downregulated
FQ312003_intergenic_3141720_3142183,FQ312003_intergenic_3141720_3142183,58.8681646,137.7524188,6.278661812,0.045579322,-4.455476735,0.004351021,0.039774671,Downregulated
FQ312003_intergenic_3156702_3156947,FQ312003_intergenic_3156702_3156947,94.49353008,165.0536129,47.45347486,0.2875034,-1.798349079,0.00060859,0.008310177,Downregulated
FQ312003_intergenic_3157276_3157367,FQ312003_intergenic_3157276_3157367,29.24707009,69.5796906,2.358656409,0.033898633,-4.882629086,0.013361658,0.095548203,Downregulated
FQ312003_intergenic_3197202_3197213,FQ312003_intergenic_3197202_3197213,4.610523025,0.439575762,7.391154533,16.81429045,4.071615994,0.002092561,0.022244541,Upregulated
FQ312003_intergenic_3237453_3237806,FQ312003_intergenic_3237453_3237806,29.93196948,63.7431919,7.391154533,0.115952062,-3.10839962,0.011821826,0.087727752,Downregulated
FQ312003_intergenic_3241553_3241651,FQ312003_intergenic_3241553_3241651,15.95148545,32.8027444,4.717312818,0.14380848,-2.797779343,0.000362949,0.005445911,Downregulated
FQ312003_intergenic_3259110_3259329,FQ312003_intergenic_3259110_3259329,32.89160929,69.07489862,8.769416393,0.126955183,-2.977608801,0.013528869,0.096085887,Downregulated
FQ312003_intergenic_3295662_3295985,FQ312003_intergenic_3295662_3295985,74.41832815,168.6804268,11.57692907,0.06863232,-3.864968061,0.00149959,0.017051954,Downregulated
FQ312003_intergenic_3369121_3369220,FQ312003_intergenic_3369121_3369220,33.06691229,76.3886189,4.185774541,0.054795788,-4.189791197,0.000748797,0.009853627,Downregulated
FQ312003_intergenic_3379260_3379595,FQ312003_intergenic_3379260_3379595,57.38073711,113.4051025,20.03116016,0.176633676,-2.501167668,0.000543107,0.007672858,Downregulated
FQ312003_intergenic_3417512_3417760,FQ312003_intergenic_3417512_3417760,81.87214941,151.6628623,35.3450075,0.233049851,-2.101289502,0.001990758,0.021301107,Downregulated
FQ312003_intergenic_3434167_3435864,FQ312003_intergenic_3434167_3435864,2408.680328,503.9917211,3678.472733,7.298676901,2.867634957,1.16E-08,7.90E-07,Upregulated
FQ312003_intergenic_3532659_3532820,FQ312003_intergenic_3532659_3532820,29.82978678,63.48773516,7.391154533,0.11641862,-3.10260627,0.00762574,0.063940058,Downregulated
FQ312003_intergenic_3549085_3549397,FQ312003_intergenic_3549085_3549397,96.55208943,193.6435603,31.82444221,0.164345471,-2.605196391,0.011639674,0.086528648,Downregulated
FQ312003_intergenic_3549969_3550232,FQ312003_intergenic_3549969_3550232,17.75313169,34.5661828,6.54443095,0.18933045,-2.401021635,0.001014511,0.012377029,Downregulated
FQ312003_intergenic_3587314_3593913,FQ312003_intergenic_3587314_3593913,893077.3153,94668.19085,1425350.065,15.05627236,3.912292726,2.27E-05,0.000528335,Upregulated
FQ312003_intergenic_3636871_3637077,FQ312003_intergenic_3636871_3637077,49.1190778,101.4956626,14.20135462,0.139920803,-2.837317619,0.000683925,0.009138812,Downregulated
FQ312003_intergenic_3758154_3758298,FQ312003_intergenic_3758154_3758298,56.39717202,111.7434972,19.49962188,0.174503415,-2.518672824,3.28E-05,0.000710821,Downregulated
FQ312003_intergenic_3778136_3778340,FQ312003_intergenic_3778136_3778340,17.48721005,36.64205589,4.717312818,0.128740397,-2.957463273,0.009247529,0.07272123,Downregulated
FQ312003_intergenic_3781840_3782126,FQ312003_intergenic_3781840_3782126,248.5268389,558.2083089,42.07252559,0.075370654,-3.729853269,6.29E-07,2.53E-05,Downregulated
FQ312003_intergenic_3787358_3787438,FQ312003_intergenic_3787358_3787438,7.607138993,0.855146456,12.10846735,14.15952469,3.823700932,9.40E-05,0.001708859,Upregulated
FQ312003_intergenic_3858730_3859000,FQ312003_intergenic_3858730_3859000,17.04670664,35.54079737,4.717312818,0.132729516,-2.913438871,0.000143801,0.002469974,Downregulated
FQ312003_intergenic_3969653_3970250,FQ312003_intergenic_3969653_3970250,76.68344479,173.5459109,12.10846735,0.069770975,-3.841229203,0.003300997,0.031638186,Downregulated
FQ312003_intergenic_4031699_4031898,FQ312003_intergenic_4031699_4031898,61.46779213,118.3418921,23.55172546,0.199014272,-2.329056203,0.000318563,0.004880889,Downregulated
FQ312003_intergenic_412054_412098,FQ312003_intergenic_412054_412098,4.565136289,0.326108923,7.391154533,22.66468046,4.502373916,0.000956226,0.011816695,Upregulated
FQ312003_intergenic_4121009_4127039,FQ312003_intergenic_4121009_4127039,888232.0618,93553.56113,1418017.729,15.15728222,3.921939189,6.36E-06,0.000186125,Upregulated
FQ312003_intergenic_4146288_4146330,FQ312003_intergenic_4146288_4146330,50.65713697,110.7480406,10.59653453,0.095681463,-3.385616745,0.000213606,0.003425575,Downregulated
FQ312003_intergenic_4146761_4147078,FQ312003_intergenic_4146761_4147078,312.27763,571.4122468,139.5212188,0.244169108,-2.034047409,0.003938345,0.036461812,Downregulated
FQ312003_intergenic_4167601_4167861,FQ312003_intergenic_4167601_4167861,85.70872288,184.225067,20.03116016,0.108732001,-3.201151492,1.50E-05,0.000378356,Downregulated
FQ312003_intergenic_4217277_4223071,FQ312003_intergenic_4217277_4223071,887211.0354,92418.20713,1417072.921,15.33326565,3.938593087,9.57E-06,0.000259072,Upregulated
FQ312003_intergenic_4293634_4293717,FQ312003_intergenic_4293634_4293717,12.98900833,4.094519677,18.91866744,4.620485169,2.208044348,0.000753872,0.009900453,Upregulated
FQ312003_intergenic_4372239_4377952,FQ312003_intergenic_4372239_4377952,888115.5449,90775.42787,1419675.623,15.6394264,3.967115695,8.06E-06,0.000225755,Upregulated
FQ312003_intergenic_4415433_4421485,FQ312003_intergenic_4415433_4421485,890294.0404,93113.85778,1421747.495,15.2689141,3.932525558,7.54E-06,0.000214778,Upregulated
FQ312003_intergenic_4479943_4480012,FQ312003_intergenic_4479943_4480012,37.0611245,82.43751113,6.810200089,0.082610452,-3.597531858,0.010125387,0.078118675,Downregulated
